obj_id,subj,trial,syll,series,max_f0,min_f0,duration,condition
121_05,121,05,sOn,15,252.71795556748756,197.7200341185254,230.00000000000003,nc
121_05,121,05,n@,25,206.3465008713549,200.1747454834424,99.99999999999997,nc
121_05,121,05,li,35,234.5847697137229,198.53166514509974,120,nc
121_05,121,05,Rje~,45,347.00378503532886,234.5847697137229,229.99999999999997,nc
121_05,121,05,a~,55,337.81508226407675,315.0839298923255,30.00000000000003,nc
121_05,121,05,ne,65,315.0839298923255,194.42337234111417,159.99999999999991,nc
121_05,121,05,te,75,194.42337234111417,92.06056050765099,209.99999999999997,nc
101_28,101,28,pER,5,221.45854217193067,195.88586841085316,133.77246570121955,negsub
101_28,101,28,sOn,15,246.51376654100267,198.80116108230203,229.99999999999997,negsub
101_28,101,28,n@,25,198.80116108230203,168.66130397314555,70,negsub
101_28,101,28,fE,35,192.26885890247445,166.78561954060658,139.99999999999997,negsub
101_28,101,28,sa,45,223.45544648892684,192.26885890247445,200.00000000000006,negsub
101_28,101,28,l@,55,220.12275379628025,154.6259049533764,99.99999999999997,negsub
101_28,101,28,di,65,202.37821923490725,152.8466352279713,189.99999999999994,negsub
101_28,101,28,ma~S,75,414.7086423680018,154.05105323584644,359.9999999999999,negsub
109_22,109,22,le,5,112.16091847729871,98.35019181721799,80,negob
109_22,109,22,Za~,15,124.57424231185018,97.87488620580672,190,negob
109_22,109,22,n@,25,122.78474014774187,98.93235856210829,90.00000000000003,negob
109_22,109,22,ma~Z,35,100.28692023201619,96.33183239365812,219.99999999999997,negob
109_22,109,22,Rje~,45,121.42780676988161,100.28692023201619,233.33972635560374,negob
109_22,109,22,l@,55,116.60498100607357,95.89525039060143,66.66027364439631,negob
109_22,109,22,swaR,65,95.89525039060143,78.08685984503475,339.9999999999999,negob
109_21,109,21,ma,5,113.33483211245587,111.1501225388882,99.99999999999999,negob
109_21,109,21,Ri,15,131.94434012824877,111.63660311409276,140,negob
109_21,109,21,n@,25,127.83092500007538,103.34953718512057,90.00000000000003,negob
109_21,109,21,li,35,103.34953718512057,96.08873753991858,150.00000000000003,negob
109_21,109,21,Rje~,45,114.68484654227827,97.75677857982652,179.99999999999994,negob
109_21,109,21,l@,55,111.2823051429681,91.30051736804634,99.99999999999997,negob
109_21,109,21,wi,65,91.30051736804634,88.37750992309577,100.00000000000009,negob
109_21,109,21,kEnd,75,92.98408063304781,85.41042890050551,299.99999999999983,negob
127_18,127,18,Ra,5,207.5053095014618,199.16058103931366,160,negob
127_18,127,18,ul,15,266.8146716833109,207.5053095014618,150.00000000000003,negob
127_18,127,18,n@,25,268.48650964313487,218.50468766899473,109.99999999999999,negob
127_18,127,18,bwa,35,218.50468766899473,174.59186444417924,149.99999999999997,negob
127_18,127,18,Rje~,45,208.40197310152078,91.40883167647954,240,negob
127_18,127,18,o,55,188.56945361757482,172.93738886073518,70.00000000000006,negob
127_18,127,18,ZuR,65,172.93738886073518,158.85341092969992,199.99999999999994,negob
127_18,127,18,dHi,75,160.37793849089542,160.37793849089542,219.99999999999997,negob
124_18,124,18,Ra,5,220.63155887699747,190.22040656001045,170,negob
124_18,124,18,ul,15,261.67061272973774,220.63155887699747,130,negob
124_18,124,18,n@,25,247.53324614774027,200.60349410549432,99.99999999999997,negob
124_18,124,18,bwa,35,223.93753576232174,189.80892892231083,149.99999999999997,negob
124_18,124,18,Rje~,45,220.12056624928562,192.78916018716234,200.00000000000006,negob
124_18,124,18,no,55,192.78916018716234,177.2682773130592,109.99999999999999,negob
124_18,124,18,ZuR,65,188.95666144828667,81.8135168273848,209.99999999999997,negob
